TT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,Điểm chuẩn
1.,Kỹ thuật Điện tử viễn thông,7520207,"A00, A01",22.93
3.,Kỹ thuật Điều khiển và tự động hóa,7520216,"A00, A01",27.41
4.,Công nghệ Internet vạn vật (IoT),7520208,"A00, A01",25.48
5.,Công nghệ thông tin,7480201,"A00, A01",22.77
6.,An toàn thông tin,7480202,"A00, A01",23.41
7.,Công nghệ đa phương tiện,7329001,"A00, A01, D01",22.64
8.,Quản trị kinh doanh,7340101,"A00, A01, D01",26.25
9.,Marketing,7340115,"A00, A01, D01",24.18
