STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,19.63,
2,7520216,Kỹ thuật Điều khiển và tự động hóa,A00;A01,18.4,
3,7520208,Công nghệ Intemet vạn vật (IoT),A00;A01,19.93,
4,7480201,Công nghệ thông tin,A00;A01,16.45,
5,7480202,An toàn thông tin,A00;A01,18.98,
6,7329001,Công nghệ đa phương tiện,A00;A01;D01,17.45,
7,7340115,Marketing,A00;A01;D01,17.98,
