STT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,Điểm chuẩn
1,Kỹ thuật Điện tử viễn thông,7520207,"A00, A01",22.60
3,Công nghệ thông tin,7480201,"A00, A01",24.20
4,An toàn thông tin,7480202,"A00, A01",23.40
5,Kỹ thuật Điều khiển và tự động hóa,7520216,"A00, A01",23.78
6,Công nghệ đa phương tiện,7329001,"A00, A01, D01",22.43
9,Marketing,7340115,"A00, A01, D01",21.60
