TT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,Điểm chuẩn
1.,Kỹ thuật Điện tử viễn thông,7520207,"A00, A01",22.60
2.,"Công nghệ Kỹ thuật Điện, điện tử",7510301,"A00, A01",22.50
3.,Công nghệ thông tin,7480201,"A00, A01",27.97
4.,An toàn thông tin,7480202,"A00, A01",27.06
6.,Công nghệ đa phương tiện,7329001,"A00, A01, D01",26.45
7.,Truyền thông đa phương tiện,7320104,"A00, A01, D01",26.92
9.,Quản trị kinh doanh,7340101,"A00, A01, D01",23.03
10.,Thương mại điện tử,7340122,"A00, A01, D01",26.82
11.,Marketing,7340115,"A00, A01, D01",25.50
12.,Kế toán,7340301,"A00, A01, D01",23.04
13.,Công nghệ tài chính (Fintech),7340205,"A00, A01, D01",24.27
