TT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,Điểm chuẩn
3.,Kỹ thuật Điều khiển và tự động hóa,7520216,"A00, A01",23.11
4.,Công nghệ Internet vạn vật (IoT),7520208,"A00, A01",26.46
5.,Công nghệ thông tin,7480201,"A00, A01",22.82
6.,An toàn thông tin,7480202,"A00, A01",24.04
7.,Công nghệ đa phương tiện,7329001,"A00, A01, D01",22.53
9.,Marketing,7340115,"A00, A01, D01",23.53
10.,Kế toán,7340301,"A00, A01, D01",21.67
